hash,G,H
7acead18a99b4c8f7289d6b20e5000296af5a12cc2a3141b52f3ac962538bf2a,"(2740104416662295947241355522854625677560303869808901672246812038664533993542546457180844087201883056438305376055589, 1678697792545037935870110944920662560411655864667328046250626064846108994597816423619118696553167011307500617862114)","(2342579494058952468104234635635998725297267773855882472591845148611855290348836557834888090178296952267939642645501, 510292359442703883948294037657000741633221474640635393210818736816325611075608036138704912779024410168715943985511)"
81cc188935894aa61d82b5b99a7b674243e2a8dea1c4cdb39a4d62eb8be10549,"(186771221523309235074185319396082256716923192868096103545176460178562776468700707516831070143047598126279906170848, 3157211980499345191109595788971116900250964223876798652775362936421856784476787538911153513337297597121545367683327)","(1558003074109690618002868384015849604229754803519346769781911524385242815689405188585983951308609363843354037409255, 1286019476820822662837387296627574017887899388214260809162022213432501303215663344977739699812097861216371930410956)"
7acead18a99b4c8f7289d6b20e5000296af5a12cc2a3141b52f3ac962538bf2a,"(2740104416662295947241355522854625677560303869808901672246812038664533993542546457180844087201883056438305376055589, 1678697792545037935870110944920662560411655864667328046250626064846108994597816423619118696553167011307500617862114)","(2342579494058952468104234635635998725297267773855882472591845148611855290348836557834888090178296952267939642645501, 510292359442703883948294037657000741633221474640635393210818736816325611075608036138704912779024410168715943985511)"
81cc188935894aa61d82b5b99a7b674243e2a8dea1c4cdb39a4d62eb8be10549,"(186771221523309235074185319396082256716923192868096103545176460178562776468700707516831070143047598126279906170848, 3157211980499345191109595788971116900250964223876798652775362936421856784476787538911153513337297597121545367683327)","(1558003074109690618002868384015849604229754803519346769781911524385242815689405188585983951308609363843354037409255, 1286019476820822662837387296627574017887899388214260809162022213432501303215663344977739699812097861216371930410956)"
6269342e5ddc7bbbf03a78e04aa26d620f727f788053f9c7217e7899268a05ed,"(891740928308248696731790740887713084113085338603415777561541843152574284054071511222324228903720190647633975084170, 3874954209366533035635732782282692412012136603523531350852048295616975838488265956048358921732371678576065999542111)","(2099929320641491956322261971225635238014846208031114515078623874741300271023035032548029251941561604912623481238190, 1985602066967938317361523782074117952977892650381138934806698124566075540183942373922103006222145576502084926214145)"
dea693ca34d9cec5027f90c0117ce1fb4d92d12521922145b5e3b400d07c0d6b,"(2271029949694348709398331894001180008863804781950933902500273593257828884895497293818202810108203214422259028674461, 2625268861966462138785844433981681299798543225374539440220583895933197754495400719656326900910035082072379047108570)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
dea693ca34d9cec5027f90c0117ce1fb4d92d12521922145b5e3b400d07c0d6b,"(2271029949694348709398331894001180008863804781950933902500273593257828884895497293818202810108203214422259028674461, 2625268861966462138785844433981681299798543225374539440220583895933197754495400719656326900910035082072379047108570)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
dea693ca34d9cec5027f90c0117ce1fb4d92d12521922145b5e3b400d07c0d6b,"(2271029949694348709398331894001180008863804781950933902500273593257828884895497293818202810108203214422259028674461, 2625268861966462138785844433981681299798543225374539440220583895933197754495400719656326900910035082072379047108570)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
c3fc2dd14b011b8603b5b9427bbeb44cf45c54ec7738e2aa367f08bd06511240,"(186771221523309235074185319396082256716923192868096103545176460178562776468700707516831070143047598126279906170848, 3157211980499345191109595788971116900250964223876798652775362936421856784476787538911153513337297597121545367683327)","(2342579494058952468104234635635998725297267773855882472591845148611855290348836557834888090178296952267939642645501, 510292359442703883948294037657000741633221474640635393210818736816325611075608036138704912779024410168715943985511)"
c3fc2dd14b011b8603b5b9427bbeb44cf45c54ec7738e2aa367f08bd06511240,"(186771221523309235074185319396082256716923192868096103545176460178562776468700707516831070143047598126279906170848, 3157211980499345191109595788971116900250964223876798652775362936421856784476787538911153513337297597121545367683327)","(2342579494058952468104234635635998725297267773855882472591845148611855290348836557834888090178296952267939642645501, 510292359442703883948294037657000741633221474640635393210818736816325611075608036138704912779024410168715943985511)"
235225848220da41bc5f6f86ede002f5ae3b56d1e854d3f5d5dfc520de1b37f3,"(1536496642505534709234998602056500934878258681440272373048572254550939652873098043775790041547103534453638686212208, 3555459606219949235126786289082266188409857051636449565507531734036789107325824822734901849409214817410656814290589)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
c3fc2dd14b011b8603b5b9427bbeb44cf45c54ec7738e2aa367f08bd06511240,"(186771221523309235074185319396082256716923192868096103545176460178562776468700707516831070143047598126279906170848, 3157211980499345191109595788971116900250964223876798652775362936421856784476787538911153513337297597121545367683327)","(2342579494058952468104234635635998725297267773855882472591845148611855290348836557834888090178296952267939642645501, 510292359442703883948294037657000741633221474640635393210818736816325611075608036138704912779024410168715943985511)"
c3fc2dd14b011b8603b5b9427bbeb44cf45c54ec7738e2aa367f08bd06511240,"(186771221523309235074185319396082256716923192868096103545176460178562776468700707516831070143047598126279906170848, 3157211980499345191109595788971116900250964223876798652775362936421856784476787538911153513337297597121545367683327)","(2342579494058952468104234635635998725297267773855882472591845148611855290348836557834888090178296952267939642645501, 510292359442703883948294037657000741633221474640635393210818736816325611075608036138704912779024410168715943985511)"
235225848220da41bc5f6f86ede002f5ae3b56d1e854d3f5d5dfc520de1b37f3,"(1536496642505534709234998602056500934878258681440272373048572254550939652873098043775790041547103534453638686212208, 3555459606219949235126786289082266188409857051636449565507531734036789107325824822734901849409214817410656814290589)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
235225848220da41bc5f6f86ede002f5ae3b56d1e854d3f5d5dfc520de1b37f3,"(1536496642505534709234998602056500934878258681440272373048572254550939652873098043775790041547103534453638686212208, 3555459606219949235126786289082266188409857051636449565507531734036789107325824822734901849409214817410656814290589)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
dea693ca34d9cec5027f90c0117ce1fb4d92d12521922145b5e3b400d07c0d6b,"(2271029949694348709398331894001180008863804781950933902500273593257828884895497293818202810108203214422259028674461, 2625268861966462138785844433981681299798543225374539440220583895933197754495400719656326900910035082072379047108570)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
c3fc2dd14b011b8603b5b9427bbeb44cf45c54ec7738e2aa367f08bd06511240,"(186771221523309235074185319396082256716923192868096103545176460178562776468700707516831070143047598126279906170848, 3157211980499345191109595788971116900250964223876798652775362936421856784476787538911153513337297597121545367683327)","(2342579494058952468104234635635998725297267773855882472591845148611855290348836557834888090178296952267939642645501, 510292359442703883948294037657000741633221474640635393210818736816325611075608036138704912779024410168715943985511)"
dea693ca34d9cec5027f90c0117ce1fb4d92d12521922145b5e3b400d07c0d6b,"(2271029949694348709398331894001180008863804781950933902500273593257828884895497293818202810108203214422259028674461, 2625268861966462138785844433981681299798543225374539440220583895933197754495400719656326900910035082072379047108570)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
235225848220da41bc5f6f86ede002f5ae3b56d1e854d3f5d5dfc520de1b37f3,"(1536496642505534709234998602056500934878258681440272373048572254550939652873098043775790041547103534453638686212208, 3555459606219949235126786289082266188409857051636449565507531734036789107325824822734901849409214817410656814290589)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
dea693ca34d9cec5027f90c0117ce1fb4d92d12521922145b5e3b400d07c0d6b,"(2271029949694348709398331894001180008863804781950933902500273593257828884895497293818202810108203214422259028674461, 2625268861966462138785844433981681299798543225374539440220583895933197754495400719656326900910035082072379047108570)","(1359276278469901977952111153476857949279587494240636324474539744180619788533031711845212549595753552367745064967219, 609835465187397424324920708156535349135795112046739787748237062171804363156320636274975488842630808562178055466938)"
